100	96	88	100	100	100	100	96	98	100	100	100	100	100	98	100	96	100	96	98	96	100	100	100	98	90	98	98	100	98	98	96	100	100	100	96	98	94	98	96	96	100	100	100	100	100	94	98	98	100	98	100	100	98	100	98	100	100	96	98	100	100	100	100	96	96	94	98	100	98	100	98	98	96	100	100	96	100	100	98	98	100	94	98	100	100	98	100	100	100	100	100	98	100	96	98	100	98	98	100	100	100	100	98	98	98	100	98	78	98	98	98	100	96	100	94	100	96	98	98	94	100	100	84	100	98	94	100	100	100	100	98	100	100	98	98	98	100	100	100	98	100	96	98	96	100	100	100	100	100	96	100	100	96	98	98	98	100	100	100	100	98	100	100	100	100	98	100	98	98	100	100	96	98	98	100	92	100	94	96	100	88	96	98	96	98	98	98	100	96	90	100	100	100	100	100	100	100	100	94	100	98	100	96	98	94	100	94	98	98	98	98	92	100	96	100	94	100	98	100	100	94	98	96	98	98	98	100	98	96	98	100	100	94	98	98	98	96	94	98	100	98	100	96	98	100	98	100	100	100	100	94	96	98	100	100	100	98	100	96	98	98	100	100	100	98	100	98	98	96	100	98	98	100	100	96	100	96	98	100	98	98	100	100	98	100	100	92	100	98	98	98	96	100	100	100	98	98	98	98	98	98	100	100	100	98	100	96	98	98	98	96	100	100	100	98	100	100	100	100	98	98	82	100	98	98	98	90	94	98	82	98	100	100	100	100	100	98	100	100	98	98	98	92	100	100	100	98	100	98	98	100	100	100	96	100	100	100	98	100	96	98	100	96	92	98	100	98	100	98	98	100	98	100	100	98	100	100	96	98	100	98	100	96	100	96	100	100	98	100	100	88	100	100	100	100	98	94	100	100	100	94	98	94	100	80	100	98	100	100	100	98	100	100	100	100	96	98	100	98	100	100	100	98	98	100	100	100	98	96	98	100	100	98	98	100	98	100	88	98	96	98	96	100	96	100	100	98	100	98	100	98	98	88	100	100	100	98	94	98	100	100	94	100	98	100	98	98	96	96	92	100	100	96	96	98	98	98	100	100	100	86	100	92	100	98	96	96	98	100	96	96	100	100	100	96	100	96	98	98	98	92	100	100	98	100	100	98	100	98	98	96	100	94	96	100	92	100	100	
100	100	96	100	100	96	100	98	98	100	100	98	100	100	98	100	98	100	96	98	96	100	100	100	100	100	100	100	100	100	98	100	98	98	98	98	98	98	100	98	100	96	100	100	98	98	100	96	100	100	96	96	100	98	100	100	100	96	100	100	100	94	96	100	100	100	92	98	100	100	98	100	98	100	100	96	98	100	100	96	94	100	98	100	100	96	98	100	96	98	98	100	100	100	100	98	100	100	98	100	100	100	98	100	100	96	100	100	98	92	98	100	100	100	98	100	98	100	90	100	100	100	100	94	96	90	100	100	100	100	98	92	100	96	100	100	92	98	88	100	96	100	96	100	98	100	98	94	100	98	100	98	100	98	98	98	94	98	100	94	98	98	100	98	98	100	100	98	100	96	96	100	96	98	100	100	96	98	100	98	100	100	96	100	94	98	98	100	98	100	96	100	100	96	100	92	100	98	100	94	94	96	100	100	98	98	98	98	100	100	98	98	100	98	100	100	94	100	96	100	100	94	100	100	84	100	100	96	94	98	100	96	92	98	100	98	98	98	100	94	100	94	98	98	100	100	100	100	100	84	98	86	100	100	96	98	98	100	98	98	98	100	100	98	100	96	96	100	100	100	96	100	100	100	100	96	100	98	98	100	98	98	96	98	100	96	100	98	94	98	94	100	98	100	98	96	100	98	96	100	98	98	98	96	100	100	96	96	100	96	100	96	100	100	100	98	100	100	98	100	98	98	98	100	98	100	96	94	100	96	98	100	98	98	98	96	100	98	98	100	100	98	94	96	100	100	96	98	94	96	100	98	100	88	100	100	96	98	98	96	100	98	94	100	98	100	100	100	88	80	100	100	100	96	100	100	98	100	92	100	100	96	100	94	94	100	100	100	100	100	100	98	98	96	96	96	100	100	100	100	100	100	100	98	98	96	100	96	100	100	98	98	100	100	94	100	92	96	96	100	96	96	100	98	98	100	100	100	98	98	100	94	98	100	100	98	96	92	96	98	90	98	96	100	94	100	90	98	94	98	94	100	96	98	100	100	96	96	96	100	94	98	96	100	98	98	94	98	98	100	94	100	96	100	98	90	92	100	100	100	98	100	100	100	96	96	98	100	92	100	100	98	98	100	98	100	98	98	98	98	100	98	92	100	98	100	98	96	92	96	98	98	94	98	98	98	98	100	96	
100	98	100	98	98	100	94	94	94	100	94	90	100	72	92	100	98	100	98	98	96	100	96	100	92	98	94	100	100	100	94	96	100	100	96	96	96	96	88	100	98	98	100	98	84	100	100	98	98	98	98	100	100	100	100	100	100	94	96	92	98	94	96	98	100	100	100	100	94	100	100	98	98	96	90	100	100	100	96	100	92	98	100	98	100	98	92	100	86	98	94	98	80	100	96	100	100	100	98	100	96	92	100	98	94	96	100	100	100	100	92	100	96	98	100	100	100	94	98	100	100	94	84	100	100	100	96	96	100	98	96	100	94	98	98	100	100	100	100	98	100	90	96	94	100	96	100	84	98	98	98	94	100	100	96	100	92	100	96	94	96	100	96	100	100	100	92	100	100	90	96	100	100	98	100	100	98	100	94	100	98	96	96	98	100	96	100	96	94	92	94	96	100	100	98	100	100	100	98	100	100	94	96	98	94	98	98	96	98	98	100	100	98	92	98	98	100	98	98	96	98	94	100	98	94	100	98	98	100	90	100	98	98	94	98	96	96	96	100	94	100	94	94	94	100	96	88	100	98	100	98	98	100	100	96	96	100	100	88	100	84	100	94	92	94	100	100	98	100	96	100	98	100	100	96	96	98	98	98	98	94	96	100	96	92	92	98	86	100	100	98	98	100	98	100	100	72	96	98	100	98	96	98	100	94	96	94	100	100	100	92	96	96	98	100	94	100	92	100	100	92	100	98	98	100	74	100	100	96	98	100	98	98	98	100	94	100	98	100	92	100	100	100	98	98	96	100	96	100	96	98	100	98	100	98	98	100	100	100	88	98	100	100	94	98	98	92	96	96	100	100	98	98	96	100	98	96	90	96	100	98	98	94	100	100	98	100	98	100	100	98	96	98	100	98	100	100	98	100	100	98	98	100	86	98	98	100	98	98	100	98	90	98	96	98	100	98	100	100	100	98	100	100	100	96	96	98	94	100	92	100	100	98	98	96	100	100	100	100	98	98	86	100	100	98	98	92	94	92	100	98	100	100	100	98	98	98	100	98	100	98	98	100	96	98	100	98	96	98	100	100	98	100	86	100	100	100	100	100	94	98	100	98	86	80	98	100	100	98	98	100	94	96	96	90	100	84	100	96	98	98	98	100	92	100	100	94	100	94	100	88	100	100	100	100	94	92	98	98	
96	96	82	100	98	98	98	96	98	100	98	98	96	100	98	92	100	96	96	98	100	100	96	98	96	98	100	100	98	94	96	96	98	98	98	94	98	96	96	96	98	96	98	94	94	98	98	100	96	98	100	98	98	94	90	76	96	92	100	100	98	100	100	98	94	92	98	92	100	92	100	100	98	100	100	98	98	98	92	100	98	98	94	94	100	100	100	98	90	100	100	96	96	98	94	94	96	100	100	96	92	100	100	94	100	98	100	100	100	98	98	100	94	98	100	98	98	90	98	96	100	96	100	96	100	100	98	100	100	96	98	96	98	100	98	100	98	98	98	98	100	100	98	100	98	86	96	94	96	100	96	94	88	96	92	100	94	100	100	96	88	98	98	100	100	98	100	92	98	100	94	94	96	98	92	100	100	98	92	100	98	94	96	90	100	98	96	100	98	96	92	98	100	74	90	100	96	100	96	98	96	90	96	100	100	100	100	90	100	98	96	94	90	98	100	96	88	98	100	100	100	88	96	98	100	96	100	96	100	100	96	98	98	98	100	94	92	88	96	100	98	98	98	100	100	80	100	96	100	98	96	98	98	100	98	100	100	96	92	100	94	96	100	98	100	100	100	100	96	98	98	96	96	98	94	98	100	100	84	98	100	100	100	92	98	96	100	96	96	96	94	96	100	100	94	94	96	92	92	92	100	100	98	98	100	90	100	100	92	100	90	96	92	98	98	98	96	98	100	94	96	96	98	100	96	94	100	96	100	100	94	98	98	100	98	100	100	94	90	96	94	96	100	100	100	98	98	98	98	100	96	96	98	98	94	100	96	100	96	96	96	100	92	100	98	98	98	98	96	98	100	98	100	100	88	84	100	96	98	98	98	98	90	98	94	98	94	94	96	98	100	84	98	100	96	96	92	98	96	92	94	94	94	98	98	96	100	96	84	98	98	98	100	96	94	100	100	100	98	98	96	88	94	98	100	100	96	98	100	100	82	98	94	86	100	100	100	94	92	88	100	90	90	96	98	100	100	96	96	96	100	96	100	100	98	100	94	100	98	100	100	100	100	94	98	96	96	100	98	96	98	90	98	100	100	98	90	92	98	100	100	96	98	96	100	92	96	96	94	100	100	96	100	98	94	98	98	100	80	82	94	96	96	96	100	98	96	96	98	88	98	94	96	100	98	100	100	98	98	
98	98	94	96	92	100	96	94	94	94	100	90	90	96	100	70	90	90	100	98	86	100	96	86	96	92	98	100	100	98	94	94	80	96	92	98	92	90	100	86	96	90	96	100	100	100	100	96	98	88	100	98	96	92	100	94	96	100	98	98	96	98	94	98	98	98	90	100	98	96	100	98	98	98	94	98	94	88	98	92	100	92	90	98	90	94	98	100	96	100	100	94	94	98	96	94	98	96	92	96	100	96	98	92	100	98	94	98	100	92	100	100	98	92	92	100	82	80	98	98	84	98	100	76	98	100	100	96	94	98	98	100	98	100	100	100	98	98	98	98	92	98	100	100	96	96	86	96	96	100	98	98	98	90	96	98	100	100	96	72	90	98	98	96	90	98	98	90	98	100	92	100	98	100	98	92	100	98	98	94	98	98	98	96	100	100	98	96	98	100	98	96	100	98	98	92	96	94	100	100	98	98	98	100	94	100	100	96	92	96	96	98	94	98	96	96	96	98	98	92	100	96	96	94	96	100	98	96	96	100	92	100	98	98	98	90	90	98	92	96	98	96	92	100	94	100	94	96	94	98	98	98	96	88	90	98	98	100	98	100	98	100	100	96	98	96	98	100	100	96	98	98	92	98	90	98	98	98	100	98	86	100	100	100	96	98	94	98	98	100	96	100	94	90	98	92	100	92	100	96	98	98	92	94	96	100	88	92	98	96	98	98	98	90	98	98	96	98	98	96	100	100	96	98	96	92	78	92	96	98	100	100	98	98	96	98	98	96	94	94	96	96	94	100	98	92	94	98	96	98	92	100	96	100	100	96	98	98	100	94	100	96	98	96	100	92	96	100	78	98	88	100	88	92	100	98	96	96	98	94	96	88	98	92	98	98	100	100	98	76	98	98	98	90	100	98	94	100	100	100	100	98	98	94	100	98	100	96	96	98	94	98	94	96	94	100	100	100	100	88	98	94	98	96	96	94	98	98	98	96	100	94	100	100	100	98	100	98	88	96	98	98	98	92	90	100	88	100	94	100	98	96	100	98	96	100	96	98	92	96	100	96	100	98	86	100	100	96	100	92	100	98	96	92	100	98	98	98	98	100	96	98	100	100	98	92	82	100	100	96	94	100	94	92	94	100	90	92	98	98	100	94	94	98	100	94	98	100	92	92	98	96	94	94	86	100	86	96	94	
98	96	100	98	94	100	100	96	98	98	96	98	96	90	98	94	94	98	88	96	98	96	98	98	100	98	94	96	98	94	94	98	94	98	88	96	94	94	96	96	100	92	100	96	96	96	98	92	98	100	92	86	98	98	98	80	92	90	96	96	92	98	94	94	100	100	94	92	100	96	100	100	98	94	98	94	98	88	100	96	100	94	96	96	94	96	96	96	100	92	100	98	98	100	96	100	100	84	96	94	96	100	90	100	100	96	88	100	98	100	100	94	96	94	92	98	96	90	98	98	90	90	96	100	84	100	84	98	100	98	98	90	100	100	96	92	94	88	94	96	90	98	68	94	100	88	98	100	96	92	96	98	96	96	98	98	100	100	94	90	96	96	98	98	92	100	98	94	90	100	90	96	98	92	94	92	96	98	94	94	94	96	84	88	98	100	88	100	98	94	86	94	90	100	96	86	94	98	92	94	94	100	92	86	100	92	96	96	90	98	96	98	98	98	100	98	98	98	98	98	94	96	100	100	100	100	100	100	94	100	98	96	100	98	78	98	100	98	90	94	90	94	100	100	98	100	100	100	96	100	94	90	96	94	94	96	100	98	94	86	98	100	98	96	96	100	78	100	100	70	94	98	92	90	96	96	94	100	94	94	94	94	98	94	92	100	100	100	100	100	84	92	88	98	90	98	94	100	90	92	88	94	72	96	100	98	92	96	92	98	100	100	100	96	90	100	96	96	100	98	100	96	98	98	98	98	100	100	100	100	100	98	96	100	70	98	88	100	98	94	98	98	90	100	74	98	98	100	94	92	100	96	92	100	96	96	96	92	100	90	94	98	94	100	100	96	100	94	98	100	84	82	100	94	98	96	94	94	98	98	98	94	100	98	80	70	98	96	96	96	90	96	94	94	100	98	84	92	98	80	98	94	94	94	96	98	98	98	98	96	80	96	96	86	98	94	94	100	96	96	94	90	96	96	98	100	96	90	92	88	100	96	100	96	88	96	98	100	100	100	86	98	94	94	100	98	98	98	98	96	92	100	94	98	90	98	96	98	96	100	98	90	96	100	100	98	96	96	92	96	96	94	94	100	92	96	94	100	96	86	90	98	98	100	98	94	96	98	90	100	100	100	92	98	100	98	94	98	100	94	100	100	92	100	96	98	96	84	96	94	100	94	98	94	98	96	94	96	76	
96	84	94	98	86	96	96	100	100	96	98	72	98	90	98	86	98	92	90	80	96	96	100	100	94	92	100	100	92	86	88	94	100	94	94	98	98	92	96	96	98	100	100	96	98	100	98	92	96	100	96	94	92	94	100	100	96	90	100	100	98	98	100	94	98	92	100	96	68	100	100	86	98	98	98	96	100	100	100	92	96	92	98	80	98	100	94	92	94	100	92	96	92	100	86	98	94	98	94	94	84	92	96	94	98	96	94	98	96	98	94	94	98	92	98	86	96	98	96	90	100	100	94	94	96	98	100	98	98	92	90	90	92	100	98	94	98	98	94	98	100	96	98	100	96	90	94	94	88	86	100	98	98	98	98	88	98	100	94	88	90	90	98	100	78	96	94	98	94	92	98	98	100	92	98	96	90	98	92	96	94	90	90	94	100	100	92	86	96	96	98	96	88	94	100	90	96	94	92	92	100	94	100	96	96	100	98	98	98	90	94	98	90	90	100	96	98	100	90	98	90	74	96	92	98	92	88	100	96	98	94	98	92	98	98	90	100	100	90	90	100	98	88	96	98	96	90	100	98	92	100	90	96	88	94	96	88	96	98	96	96	98	90	92	92	98	98	94	100	100	98	98	84	86	98	90	98	88	96	96	94	98	82	78	90	86	96	100	92	100	96	90	96	86	90	88	92	100	82	96	98	92	98	94	98	90	90	100	98	100	98	90	92	96	90	100	98	98	96	100	98	96	96	98	98	92	90	96	96	94	90	100	90	100	100	98	98	86	96	94	82	96	86	84	94	88	88	92	100	90	94	94	94	80	100	96	98	92	98	98	96	86	98	94	100	90	98	96	80	96	96	92	94	98	100	84	98	88	100	88	98	84	82	94	84	92	92	98	96	100	96	90	98	100	80	98	96	92	94	96	98	94	94	92	98	88	94	98	74	98	98	94	98	98	96	96	96	86	100	94	92	98	98	96	84	98	98	90	98	92	90	80	94	100	96	98	94	100	94	90	96	82	98	88	92	94	96	100	88	96	100	98	96	80	100	96	94	100	92	96	98	90	96	92	94	98	74	98	92	96	90	98	94	96	94	94	96	96	100	76	88	94	98	98	96	98	94	100	96	96	92	98	84	98	96	94	100	88	100	90	100	98	92	100	100	96	88	94	98	96	88	96	94	90	94	88	94	96	86	
92	96	96	92	100	88	100	96	86	78	94	98	88	100	80	98	96	94	92	74	100	100	90	94	96	100	100	98	98	98	96	82	90	80	94	78	88	72	88	78	100	98	88	92	100	94	92	96	96	98	94	100	96	100	94	96	88	94	100	86	98	96	94	96	94	92	98	100	96	96	98	90	98	92	98	96	100	90	98	94	96	96	90	96	98	98	96	96	94	96	98	98	98	44	90	88	84	96	96	98	100	98	100	94	98	98	94	86	90	98	96	86	98	92	96	94	88	96	96	100	96	94	90	98	98	98	94	100	86	98	94	94	100	68	-56	94	98	74	98	98	98	100	92	100	98	96	96	92	96	96	100	100	92	40	88	100	100	94	86	94	100	92	98	92	100	94	92	94	92	94	98	92	82	96	100	98	100	72	74	92	84	98	94	98	96	92	84	92	100	94	100	84	94	94	100	88	86	84	100	96	98	94	88	96	98	100	100	100	86	96	92	96	98	94	94	96	88	96	94	92	90	96	94	100	98	92	100	86	98	98	96	98	96	96	92	96	90	88	98	100	100	100	90	100	96	94	94	96	94	92	100	96	84	84	92	78	94	90	98	96	96	82	96	98	92	100	96	98	96	94	98	100	92	90	94	98	100	96	94	100	100	100	100	94	100	96	92	94	98	94	86	92	100	78	92	98	86	92	90	94	92	88	100	94	94	90	82	84	96	92	96	100	76	96	86	98	100	94	86	96	96	96	94	96	94	96	84	98	96	96	92	92	100	96	100	96	100	86	94	100	82	92	72	90	96	98	88	100	100	98	90	98	88	96	98	94	98	96	96	94	94	94	94	84	96	92	74	98	94	72	94	96	98	100	100	90	88	96	88	96	98	90	88	92	100	94	96	94	94	98	94	88	98	94	98	90	94	96	96	94	100	100	96	96	100	96	92	90	96	90	98	98	92	94	94	92	96	100	98	90	98	96	98	96	98	98	94	90	96	88	98	86	88	96	98	98	98	100	96	90	98	96	100	100	86	86	98	98	90	100	98	84	92	98	98	94	92	98	96	78	94	100	100	94	100	94	96	96	100	96	94	82	90	100	98	96	86	90	100	98	98	94	98	94	94	88	90	98	90	92	98	78	98	98	98	92	98	100	100	54	96	94	92	100	92	94	88	94	88	86	92	86	84	96	100	96	96	90	92	
100	86	94	96	96	94	100	96	100	98	90	94	70	98	88	94	90	98	100	90	88	92	98	100	100	100	96	92	82	98	98	80	98	88	56	88	100	92	78	88	82	94	88	98	82	86	88	98	90	94	92	92	82	100	100	98	90	96	100	96	86	92	98	56	54	90	74	94	64	98	96	94	74	94	96	98	100	62	96	86	96	86	94	98	94	76	98	88	96	96	76	90	86	94	96	98	98	84	94	88	100	96	94	88	92	94	86	90	100	98	98	100	96	98	96	100	94	96	96	84	64	88	98	84	96	92	100	94	100	96	100	78	94	90	98	88	98	92	96	94	82	74	100	94	84	96	48	82	96	98	90	100	100	96	96	92	86	94	92	96	88	76	98	98	88	90	98	86	88	100	92	90	88	96	92	90	96	98	100	84	80	92	92	92	82	92	96	98	78	94	98	84	86	98	66	68	86	88	98	100	74	90	90	88	90	96	96	94	86	92	100	90	98	96	98	94	98	96	92	92	96	80	90	82	80	96	98	96	96	98	98	88	100	92	92	94	90	90	62	100	96	90	94	98	96	96	100	100	90	92	94	96	96	96	98	100	96	90	96	92	90	98	94	88	98	92	100	92	98	94	94	90	88	68	96	96	90	90	92	82	92	98	94	100	96	88	36	88	96	80	90	90	68	96	92	86	74	94	98	94	86	94	94	84	86	72	94	98	96	94	100	76	98	94	98	92	96	84	88	88	96	94	76	92	90	90	94	96	94	100	94	88	98	92	86	-66	96	98	96	80	98	92	96	74	84	100	98	82	82	82	98	100	92	100	100	82	96	90	90	94	90	86	100	98	96	100	96	98	88	94	86	94	96	96	98	92	96	86	86	96	100	98	96	98	82	100	96	94	90	100	94	78	90	82	98	96	92	96	98	100	96	90	98	96	84	98	100	98	90	-22	92	90	98	92	96	98	96	94	98	94	76	94	94	70	94	94	76	94	78	96	98	96	76	88	96	94	86	90	86	86	98	94	96	90	90	96	94	92	94	100	92	88	98	98	98	90	92	100	90	94	94	96	94	94	94	98	90	96	82	98	96	98	92	96	98	80	96	96	94	92	96	94	100	98	86	90	88	98	98	82	84	96	96	86	88	76	94	100	84	96	98	98	90	90	100	96	96	88	96	98	90	94	86	76	98	90	90	76	100	
96	94	98	78	94	96	24	92	96	88	98	100	82	96	96	98	80	86	90	76	98	82	98	98	100	82	92	82	96	100	100	96	98	96	96	66	98	96	82	80	56	86	96	92	90	100	90	96	76	98	94	80	90	88	94	74	94	96	86	94	94	92	94	100	94	96	88	92	90	90	72	92	96	92	94	96	84	100	100	90	50	98	90	98	94	98	94	78	84	96	98	88	98	100	98	90	92	94	98	84	96	84	88	80	92	86	98	76	96	96	100	92	96	88	88	94	90	94	96	92	80	92	90	94	96	94	90	100	94	90	98	98	88	86	84	96	88	94	86	100	92	98	92	90	96	88	94	86	84	100	92	98	94	86	60	90	96	86	6	90	98	94	96	92	96	96	-60	98	90	100	70	98	86	16	92	92	94	86	98	84	98	94	98	88	98	94	98	90	96	100	88	96	96	84	94	62	86	90	98	94	72	94	70	98	70	36	96	100	92	94	94	94	42	90	80	84	68	92	88	94	92	96	94	98	94	76	96	88	94	78	96	78	98	100	84	100	100	96	96	96	92	92	96	82	100	90	94	92	98	92	84	80	86	88	94	86	98	88	82	94	94	96	94	72	88	98	96	88	94	94	86	94	72	98	94	96	86	94	98	82	72	52	100	88	90	94	96	94	84	98	72	84	98	68	92	90	92	98	86	74	100	86	100	86	80	94	92	100	96	96	80	82	90	100	94	92	82	98	76	94	96	94	96	98	96	96	92	100	92	100	94	96	86	92	100	88	100	88	80	84	70	76	96	100	82	78	88	98	98	86	98	90	92	92	96	92	96	96	92	96	88	98	82	94	88	100	98	96	90	98	96	90	98	92	86	88	98	88	100	74	98	100	76	96	92	92	84	70	96	94	92	94	96	88	98	94	90	98	86	94	96	92	100	98	90	94	96	84	92	96	94	96	82	96	92	80	90	82	90	88	94	90	100	92	86	86	92	80	94	82	90	76	96	98	88	96	88	90	78	96	94	96	92	72	96	92	98	94	90	98	94	90	98	96	96	96	82	78	90	96	96	94	94	94	84	94	72	86	62	94	96	88	94	88	86	98	92	94	88	82	98	90	96	94	90	96	96	90	96	92	96	92	92	84	86	90	98	90	90	96	90	96	98	96	86	88	96	96	96	98	90	98	96	96	72	88	98	96	84	
